id,x_m,load_position_m,force_N,raw_displacement_m,zero_m,sigma_m,split,provenance,run_id

0,0.25,0.75,1.0,2.4681304149928218e-05,0.0,8.833333333333333e-07,train,synthetic,run-1

1,0.5,0.75,1.0,8.034268070191374e-05,0.0,8.833333333333333e-07,train,synthetic,run-1

2,0.75,0.75,1.0,0.00015116465894403423,0.0,8.833333333333333e-07,train,synthetic,run-1

3,1.0,0.75,1.0,0.00022403642800655876,0.0,8.833333333333333e-07,train,synthetic,run-1

4,0.25,1.0,1.0,3.4716302533625936e-05,0.0,8.833333333333333e-07,train,synthetic,run-1

5,0.5,1.0,1.0,0.00011374093260236489,0.0,8.833333333333333e-07,train,synthetic,run-1

6,0.75,1.0,1.0,0.00022576546503678467,0.0,8.833333333333333e-07,train,synthetic,run-1

7,1.0,1.0,1.0,0.00035255353085298746,0.0,8.833333333333333e-07,train,synthetic,run-1

8,0.25,0.5,1.0,1.5005604703236531e-05,0.0,8.833333333333333e-07,holdout,synthetic,run-1

9,0.5,0.5,1.0,4.574311744926387e-05,0.0,8.833333333333333e-07,holdout,synthetic,run-1

10,0.75,0.5,1.0,8.035127194827194e-05,0.0,8.833333333333333e-07,holdout,synthetic,run-1

11,1.0,0.5,1.0,0.00011426371646252439,0.0,8.833333333333333e-07,holdout,synthetic,run-1
