provenance,slenderness,gamma,generator,load_design,sensors,sensor_positions,noise_fraction,support_model,trials,rank,status,EI_relative_bias,EI_relative_rmse,holdout_relative_rmse,compliance_absolute_bias
synthetic,10,0.0,Euler-Bernoulli,single,one,1.0,0.0,rigid,200,1,identified,2.220446049250313e-16,2.220446049250313e-16,3.705769144237565e-17,-0.0
synthetic,10,0.0,Euler-Bernoulli,single,one,1.0,0.0,flexible,200,1,unidentifiable,,,,
synthetic,10,0.0,Euler-Bernoulli,single,one,1.0,0.0025,rigid,200,1,identified,-5.90180872134416e-05,0.002632291173069296,0.000822572519056927,-0.0
synthetic,10,0.0,Euler-Bernoulli,single,one,1.0,0.0025,flexible,200,1,unidentifiable,,,,
synthetic,10,0.0,Euler-Bernoulli,single,one,1.0,0.01,rigid,200,1,identified,-3.054219336693864e-05,0.010734876198321013,0.003350760572670232,-0.0
synthetic,10,0.0,Euler-Bernoulli,single,one,1.0,0.01,flexible,200,1,unidentifiable,,,,
synthetic,10,0.0,Euler-Bernoulli,single,one,1.0,0.03,rigid,200,1,identified,0.003923914699948506,0.030439942818273166,0.009424818547765472,-0.0
synthetic,10,0.0,Euler-Bernoulli,single,one,1.0,0.03,flexible,200,1,unidentifiable,,,,
synthetic,10,0.0,Euler-Bernoulli,single,two_uniform,0.5;1.0,0.0,rigid,200,1,identified,2.220446049250313e-16,2.220446049250313e-16,2.929667744640936e-17,-0.0
synthetic,10,0.0,Euler-Bernoulli,single,two_uniform,0.5;1.0,0.0,flexible,200,2,identified,2.220446049250313e-16,2.220446049250313e-16,2.929667744640936e-17,0.0
synthetic,10,0.0,Euler-Bernoulli,single,two_uniform,0.5;1.0,0.0025,rigid,200,1,identified,-6.598124936427973e-05,0.002255767072832866,0.0005370886951385163,-0.0
synthetic,10,0.0,Euler-Bernoulli,single,two_uniform,0.5;1.0,0.0025,flexible,200,2,identified,0.005163321502278702,0.00949368099737745,0.0013332288434325516,1.3957793343388747e-08
synthetic,10,0.0,Euler-Bernoulli,single,two_uniform,0.5;1.0,0.01,rigid,200,1,identified,0.0001313972675402031,0.009217439024215374,0.0021926837838328445,-0.0
synthetic,10,0.0,Euler-Bernoulli,single,two_uniform,0.5;1.0,0.01,flexible,200,2,identified,0.023136967145434676,0.043781029572776874,0.005821742107610757,5.791277420181542e-08
synthetic,10,0.0,Euler-Bernoulli,single,two_uniform,0.5;1.0,0.03,rigid,200,1,identified,-0.0019861412415877935,0.028672338231025232,0.006883382707533513,-0.0
synthetic,10,0.0,Euler-Bernoulli,single,two_uniform,0.5;1.0,0.03,flexible,200,2,identified,0.0846166315876058,0.18043744724695335,0.01850278943599013,1.8000990758620282e-07
synthetic,10,0.0,Euler-Bernoulli,single,two_selected,0.5;1.0,0.0,rigid,200,1,identified,2.220446049250313e-16,2.220446049250313e-16,2.929667744640936e-17,-0.0
synthetic,10,0.0,Euler-Bernoulli,single,two_selected,0.5;1.0,0.0,flexible,200,2,identified,2.220446049250313e-16,2.220446049250313e-16,2.929667744640936e-17,0.0
synthetic,10,0.0,Euler-Bernoulli,single,two_selected,0.5;1.0,0.0025,rigid,200,1,identified,-0.00011183494729881394,0.0024074496820530133,0.0005733786870292467,-0.0
synthetic,10,0.0,Euler-Bernoulli,single,two_selected,0.5;1.0,0.0025,flexible,200,2,identified,0.006323787887952074,0.011556600322581382,0.0017942042614230965,1.711880990413712e-08
synthetic,10,0.0,Euler-Bernoulli,single,two_selected,0.5;1.0,0.01,rigid,200,1,identified,0.0001371594221463296,0.009566526144916005,0.0022788817950612572,-0.0
synthetic,10,0.0,Euler-Bernoulli,single,two_selected,0.5;1.0,0.01,flexible,200,2,identified,0.02130192691770829,0.04359062688131329,0.005722306304124821,5.3042225738302393e-08
synthetic,10,0.0,Euler-Bernoulli,single,two_selected,0.5;1.0,0.03,rigid,200,1,identified,0.0015005518898929154,0.029343451126727968,0.006977995134417898,-0.0
synthetic,10,0.0,Euler-Bernoulli,single,two_selected,0.5;1.0,0.03,flexible,200,2,identified,0.08787720216691525,0.16298814570819262,0.01895689924470015,1.8440493828403673e-07
synthetic,10,0.0,Euler-Bernoulli,single,four,0.25;0.5;0.75;1.0,0.0,rigid,200,1,identified,2.220446049250313e-16,2.220446049250313e-16,2.7889606023441766e-17,-0.0
synthetic,10,0.0,Euler-Bernoulli,single,four,0.25;0.5;0.75;1.0,0.0,flexible,200,2,identified,2.220446049250313e-16,2.220446049250313e-16,2.7889606023441766e-17,0.0
synthetic,10,0.0,Euler-Bernoulli,single,four,0.25;0.5;0.75;1.0,0.0025,rigid,200,1,identified,-0.00010835279434360411,0.0020412699838616498,0.0004118587114284663,-0.0
synthetic,10,0.0,Euler-Bernoulli,single,four,0.25;0.5;0.75;1.0,0.0025,flexible,200,2,identified,0.004506630381918201,0.008385561720873635,0.001011323143881988,1.1844863989805023e-08
synthetic,10,0.0,Euler-Bernoulli,single,four,0.25;0.5;0.75;1.0,0.01,rigid,200,1,identified,-0.0002557607113975841,0.008549882556269756,0.0017284655037274866,-0.0
synthetic,10,0.0,Euler-Bernoulli,single,four,0.25;0.5;0.75;1.0,0.01,flexible,200,2,identified,0.01807873750273763,0.033734799587637435,0.00411156377638974,4.5176294863663e-08
synthetic,10,0.0,Euler-Bernoulli,single,four,0.25;0.5;0.75;1.0,0.03,rigid,200,1,identified,0.0026725219630319656,0.024807058108432038,0.004968855107772097,-0.0
synthetic,10,0.0,Euler-Bernoulli,single,four,0.25;0.5;0.75;1.0,0.03,flexible,200,2,identified,0.06803708674761207,0.13468320376113443,0.011737363322079853,1.3611804875170915e-07
synthetic,10,0.0,Euler-Bernoulli,amplitudes,one,1.0,0.0,rigid,200,1,identified,-2.220446049250313e-16,2.220446049250313e-16,7.41153828847513e-17,-0.0
synthetic,10,0.0,Euler-Bernoulli,amplitudes,one,1.0,0.0,flexible,200,1,unidentifiable,,,,
synthetic,10,0.0,Euler-Bernoulli,amplitudes,one,1.0,0.0025,rigid,200,1,identified,2.9255304560160122e-05,0.0006996782750248496,0.00021865231866661868,-0.0
synthetic,10,0.0,Euler-Bernoulli,amplitudes,one,1.0,0.0025,flexible,200,1,unidentifiable,,,,
synthetic,10,0.0,Euler-Bernoulli,amplitudes,one,1.0,0.01,rigid,200,1,identified,-0.00023511061008838597,0.00260288576250453,0.0008139436816869587,-0.0
synthetic,10,0.0,Euler-Bernoulli,amplitudes,one,1.0,0.01,flexible,200,1,unidentifiable,,,,
synthetic,10,0.0,Euler-Bernoulli,amplitudes,one,1.0,0.03,rigid,200,1,identified,-0.00019088327888541146,0.007373046352666134,0.0023067554363480863,-0.0
synthetic,10,0.0,Euler-Bernoulli,amplitudes,one,1.0,0.03,flexible,200,1,unidentifiable,,,,
synthetic,10,0.0,Euler-Bernoulli,amplitudes,two_uniform,0.5;1.0,0.0,rigid,200,1,identified,0.0,0.0,0.0,-0.0
synthetic,10,0.0,Euler-Bernoulli,amplitudes,two_uniform,0.5;1.0,0.0,flexible,200,2,identified,0.0,0.0,0.0,0.0
synthetic,10,0.0,Euler-Bernoulli,amplitudes,two_uniform,0.5;1.0,0.0025,rigid,200,1,identified,-5.0664422725773536e-05,0.0006248409230770991,0.00014872550007969954,-0.0
synthetic,10,0.0,Euler-Bernoulli,amplitudes,two_uniform,0.5;1.0,0.0025,flexible,200,2,identified,0.001463175884574734,0.0027413308527704065,0.00041648007424324474,4.086871099533175e-09
synthetic,10,0.0,Euler-Bernoulli,amplitudes,two_uniform,0.5;1.0,0.01,rigid,200,1,identified,6.882029927195721e-05,0.0024579657364837914,0.0005844404913871797,-0.0
synthetic,10,0.0,Euler-Bernoulli,amplitudes,two_uniform,0.5;1.0,0.01,flexible,200,2,identified,0.00767119692583955,0.013348285966360455,0.0017839001762159235,2.016609388034893e-08
synthetic,10,0.0,Euler-Bernoulli,amplitudes,two_uniform,0.5;1.0,0.03,rigid,200,1,identified,0.0007082237687076781,0.007606116329306799,0.0018049581134808085,-0.0
synthetic,10,0.0,Euler-Bernoulli,amplitudes,two_uniform,0.5;1.0,0.03,flexible,200,2,identified,0.019318973914864885,0.035446280401911945,0.004468143468465815,4.746092866851386e-08
synthetic,10,0.0,Euler-Bernoulli,amplitudes,two_selected,0.5;1.0,0.0,rigid,200,1,identified,0.0,0.0,0.0,-0.0
synthetic,10,0.0,Euler-Bernoulli,amplitudes,two_selected,0.5;1.0,0.0,flexible,200,2,identified,0.0,0.0,0.0,0.0
synthetic,10,0.0,Euler-Bernoulli,amplitudes,two_selected,0.5;1.0,0.0025,rigid,200,1,identified,-7.081490771419008e-05,0.0005751950821029043,0.0001369323501459828,-0.0
synthetic,10,0.0,Euler-Bernoulli,amplitudes,two_selected,0.5;1.0,0.0025,flexible,200,2,identified,0.0015101177201258115,0.002882366344277418,0.0004357300090646932,4.266563565745848e-09
synthetic,10,0.0,Euler-Bernoulli,amplitudes,two_selected,0.5;1.0,0.01,rigid,200,1,identified,-0.0002600789172553691,0.0028251138552572524,0.0006730839336968064,-0.0
synthetic,10,0.0,Euler-Bernoulli,amplitudes,two_selected,0.5;1.0,0.01,flexible,200,2,identified,0.006505639806821712,0.01291926140749005,0.0018870657088273725,1.7933005389978258e-08
synthetic,10,0.0,Euler-Bernoulli,amplitudes,two_selected,0.5;1.0,0.03,rigid,200,1,identified,0.0012253427260819482,0.0077778816654225725,0.0018424283755821968,-0.0
synthetic,10,0.0,Euler-Bernoulli,amplitudes,two_selected,0.5;1.0,0.03,flexible,200,2,identified,0.021515699344681512,0.03881987154331751,0.004954044977480287,5.1440502008732596e-08
synthetic,10,0.0,Euler-Bernoulli,amplitudes,four,0.25;0.5;0.75;1.0,0.0,rigid,200,1,identified,0.0,0.0,0.0,-0.0
synthetic,10,0.0,Euler-Bernoulli,amplitudes,four,0.25;0.5;0.75;1.0,0.0,flexible,200,2,identified,0.0,0.0,0.0,0.0
synthetic,10,0.0,Euler-Bernoulli,amplitudes,four,0.25;0.5;0.75;1.0,0.0025,rigid,200,1,identified,2.1856729744713088e-05,0.0005850643500993993,0.00011796083140557835,-0.0
synthetic,10,0.0,Euler-Bernoulli,amplitudes,four,0.25;0.5;0.75;1.0,0.0025,flexible,200,2,identified,0.0012112822127063794,0.0023110362966620585,0.00026018121420356933,3.083397199741103e-09
synthetic,10,0.0,Euler-Bernoulli,amplitudes,four,0.25;0.5;0.75;1.0,0.01,rigid,200,1,identified,-5.82092571995152e-06,0.0023788967576666856,0.000479664076639505,-0.0
synthetic,10,0.0,Euler-Bernoulli,amplitudes,four,0.25;0.5;0.75;1.0,0.01,flexible,200,2,identified,0.005298428808409031,0.008958929722506786,0.0010968422189097985,1.3617408092232984e-08
synthetic,10,0.0,Euler-Bernoulli,amplitudes,four,0.25;0.5;0.75;1.0,0.03,rigid,200,1,identified,0.00013994210072808933,0.006932023994652753,0.0013999094207590172,-0.0
synthetic,10,0.0,Euler-Bernoulli,amplitudes,four,0.25;0.5;0.75;1.0,0.03,flexible,200,2,identified,0.015546167150692305,0.027965419092763146,0.003267873372253334,3.831581449587816e-08
synthetic,10,0.0,Euler-Bernoulli,locations,one,1.0,0.0,rigid,200,1,identified,2.220446049250313e-16,2.220446049250313e-16,3.705769144237565e-17,-0.0
synthetic,10,0.0,Euler-Bernoulli,locations,one,1.0,0.0,flexible,200,2,identified,2.220446049250313e-16,2.220446049250313e-16,3.705769144237565e-17,0.0
synthetic,10,0.0,Euler-Bernoulli,locations,one,1.0,0.0025,rigid,200,1,identified,-1.575362157105964e-05,0.0020649300465919863,0.0006451119111824525,-0.0
synthetic,10,0.0,Euler-Bernoulli,locations,one,1.0,0.0025,flexible,200,2,identified,0.011156686281670563,0.018937266558939316,0.0029977906877615254,2.9389873356549612e-08
synthetic,10,0.0,Euler-Bernoulli,locations,one,1.0,0.01,rigid,200,1,identified,-0.0002702083326241045,0.008758343903794541,0.002746481909905706,-0.0
synthetic,10,0.0,Euler-Bernoulli,locations,one,1.0,0.01,flexible,200,2,identified,0.047979313224363704,0.09304785570488244,0.012503289511083378,1.1209790015548008e-07
synthetic,10,0.0,Euler-Bernoulli,locations,one,1.0,0.03,rigid,200,1,identified,-0.0011384017024308674,0.02548983808345909,0.008006159485013025,-0.0
synthetic,10,0.0,Euler-Bernoulli,locations,one,1.0,0.03,flexible,200,2,identified,0.14147268945899794,0.34157435034691397,0.0294243742070368,2.360600695716087e-07
synthetic,10,0.0,Euler-Bernoulli,locations,two_uniform,0.5;1.0,0.0,rigid,200,1,identified,2.220446049250313e-16,2.220446049250313e-16,2.929667744640936e-17,-0.0
synthetic,10,0.0,Euler-Bernoulli,locations,two_uniform,0.5;1.0,0.0,flexible,200,2,identified,0.0,0.0,0.0,0.0
synthetic,10,0.0,Euler-Bernoulli,locations,two_uniform,0.5;1.0,0.0025,rigid,200,1,identified,3.686165273146802e-05,0.0020640374449820116,0.0004912701774557309,-0.0
synthetic,10,0.0,Euler-Bernoulli,locations,two_uniform,0.5;1.0,0.0025,flexible,200,2,identified,0.004704401606530789,0.008633604053638848,0.0011372163925486038,1.1858471995422077e-08
synthetic,10,0.0,Euler-Bernoulli,locations,two_uniform,0.5;1.0,0.01,rigid,200,1,identified,-0.0001282149299184948,0.007067493391509425,0.0016818518101405413,-0.0
synthetic,10,0.0,Euler-Bernoulli,locations,two_uniform,0.5;1.0,0.01,flexible,200,2,identified,0.02182464205902028,0.040177702389861375,0.00481655824783164,5.292729227362886e-08
synthetic,10,0.0,Euler-Bernoulli,locations,two_uniform,0.5;1.0,0.03,rigid,200,1,identified,0.0011758384708313763,0.023734415377071664,0.005596360670722529,-0.0
synthetic,10,0.0,Euler-Bernoulli,locations,two_uniform,0.5;1.0,0.03,flexible,200,2,identified,0.06399533359003391,0.12648712874653037,0.012501151610728378,1.3195009235553184e-07
synthetic,10,0.0,Euler-Bernoulli,locations,two_selected,0.5;1.0,0.0,rigid,200,1,identified,2.220446049250313e-16,2.220446049250313e-16,2.929667744640936e-17,-0.0
synthetic,10,0.0,Euler-Bernoulli,locations,two_selected,0.5;1.0,0.0,flexible,200,2,identified,0.0,0.0,0.0,0.0
synthetic,10,0.0,Euler-Bernoulli,locations,two_selected,0.5;1.0,0.0025,rigid,200,1,identified,-0.00028246730902819263,0.0019106380954776894,0.00045519604549467134,-0.0
synthetic,10,0.0,Euler-Bernoulli,locations,two_selected,0.5;1.0,0.0025,flexible,200,2,identified,0.004691337492817364,0.009045227083079229,0.001208047707761113,1.2628463256593412e-08
synthetic,10,0.0,Euler-Bernoulli,locations,two_selected,0.5;1.0,0.01,rigid,200,1,identified,-0.0006646649517006842,0.008275679195230843,0.001968473669899119,-0.0
synthetic,10,0.0,Euler-Bernoulli,locations,two_selected,0.5;1.0,0.01,flexible,200,2,identified,0.018392104361991277,0.034855010526446364,0.004392940228306584,4.6395797205256384e-08
synthetic,10,0.0,Euler-Bernoulli,locations,two_selected,0.5;1.0,0.03,rigid,200,1,identified,-0.0009702944896813076,0.024334955012861235,0.0058311276287087216,-0.0
synthetic,10,0.0,Euler-Bernoulli,locations,two_selected,0.5;1.0,0.03,flexible,200,2,identified,0.0522611267832383,0.11933338974532082,0.011818639736298367,1.1104397070665589e-07
synthetic,10,0.0,Euler-Bernoulli,locations,four,0.25;0.5;0.75;1.0,0.0,rigid,200,1,identified,2.220446049250313e-16,2.220446049250313e-16,2.7889606023441766e-17,-0.0
synthetic,10,0.0,Euler-Bernoulli,locations,four,0.25;0.5;0.75;1.0,0.0,flexible,200,2,identified,-2.220446049250313e-16,2.220446049250313e-16,4.270687921720306e-17,0.0
synthetic,10,0.0,Euler-Bernoulli,locations,four,0.25;0.5;0.75;1.0,0.0025,rigid,200,1,identified,-3.841764611276111e-05,0.0016441380922547937,0.00033153499103351624,-0.0
synthetic,10,0.0,Euler-Bernoulli,locations,four,0.25;0.5;0.75;1.0,0.0025,flexible,200,2,identified,0.0042220047220602385,0.0072966436511795315,0.0007889442170586395,1.0452917059162205e-08
synthetic,10,0.0,Euler-Bernoulli,locations,four,0.25;0.5;0.75;1.0,0.01,rigid,200,1,identified,-0.0008555464216618386,0.00656590415970771,0.0013259635446321533,-0.0
synthetic,10,0.0,Euler-Bernoulli,locations,four,0.25;0.5;0.75;1.0,0.01,flexible,200,2,identified,0.014146111634554013,0.028060803110876997,0.003106698305831839,3.552125828235554e-08
synthetic,10,0.0,Euler-Bernoulli,locations,four,0.25;0.5;0.75;1.0,0.03,rigid,200,1,identified,0.0011796015461613496,0.02183241476813446,0.004392068761652053,-0.0
synthetic,10,0.0,Euler-Bernoulli,locations,four,0.25;0.5;0.75;1.0,0.03,flexible,200,2,identified,0.060006256533117364,0.11143325075899391,0.009569470990539895,1.2294139817524291e-07
synthetic,10,0.0,Timoshenko,single,one,1.0,0.0,rigid,200,1,identified,-0.007739630879142756,0.007739630879142757,0.0014624999999999673,-0.0
synthetic,10,0.0,Timoshenko,single,one,1.0,0.0,flexible,200,1,unidentifiable,,,,
synthetic,10,0.0,Timoshenko,single,one,1.0,0.0025,rigid,200,1,identified,-0.007865055963007682,0.008211373377892963,0.001606406015847106,-0.0
synthetic,10,0.0,Timoshenko,single,one,1.0,0.0025,flexible,200,1,unidentifiable,,,,
synthetic,10,0.0,Timoshenko,single,one,1.0,0.01,rigid,200,1,identified,-0.007576671238701293,0.012070691990261886,0.0033280946258374402,-0.0
synthetic,10,0.0,Timoshenko,single,one,1.0,0.01,flexible,200,1,unidentifiable,,,,
synthetic,10,0.0,Timoshenko,single,one,1.0,0.03,rigid,200,1,identified,-0.008223055722524145,0.03206719571378848,0.009844595863434454,-0.0
synthetic,10,0.0,Timoshenko,single,one,1.0,0.03,flexible,200,1,unidentifiable,,,,
synthetic,10,0.0,Timoshenko,single,two_uniform,0.5;1.0,0.0,rigid,200,1,identified,-0.008149411525515737,0.008149411525515737,0.002239320344077425,-0.0
synthetic,10,0.0,Timoshenko,single,two_uniform,0.5;1.0,0.0,flexible,200,2,identified,1.3322676295501878e-15,1.3322676295501878e-15,0.0013788582233136848,2.2285714285717322e-08
synthetic,10,0.0,Timoshenko,single,two_uniform,0.5;1.0,0.0025,rigid,200,1,identified,-0.00855170676314936,0.008893639910403608,0.0022476934109421655,-0.0
